"pchids" "biosyn_class" "organism_name" "mibig_accession" "ncbi_tax_id" "compounds.chem_struct" "compounds.compound" "compounds.molecular_formula"
"76965088" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)CCC[C@H](CCCC(=O)CC(CC(=O)CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O" "UNII-AP5PEF5W7U" "C59H84N2O17"
"3431" "Polyketide" "Fusarium oxysporum" "BGC0000063" 5507 "CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O" "fumonisin" "C34H59NO15"
"15942871" "Polyketide" "Fusarium verticillioides" "BGC0000064" 117187 "C/C=C(/C)\C=C(/C)\C=C(/C)\C=C\C=C(/C)\C(=O)[C@@]12[C@@H](O1)[C@](NC2=O)(CCO)O" "fusarin" "C22H29NO5"
"5288382" "Polyketide" "Streptomyces hygroscopicus" "BGC0000066" 1912 "CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](CC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O" "geldanamycin" "C30H42N2O8"
"5288382" "Polyketide" "Streptomyces hygroscopicus subsp. duamyceticus" "BGC0000067" 285527 "C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC" "geldanamycin" "C29H40N2O9"
"5288382" "Polyketide" "Streptomyces hygroscopicus" "BGC0000068" 1912 "C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC" "geldanamycin" "C29H40N2O9"
"441140" "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "COC1=CC(OC)=C(Cl)C2=C1C(=O)C1(O2)[C@H](C)CC(=O)C=C1OC" "griseofulvin" "C17H17ClO6"
NA "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "COC1=CC(OC)=C2C(OC3(C(C)CC(=O)C=C3OC)C2=O)=C1" "epidechlorogriseofulvin" "C17H18O6"
"5281657" "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O" "norlichexanthone" "C14H10O5"
"3082005" "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "CC1=CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC" "dehydrogriseofulvin" "C17H15ClO6"
"44565921" "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3O)OC)Cl)OC" "4-desmethylgriseofulvin" "C16H15ClO6"
"5359037" "Polyketide" "Penicillium aethiopicum" "BGC0000070" 36650 "CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C(C=C3O)OC)C)O" "griseoxanthone B" "C16H14O5"
"5326374" "Polyketide" "Streptomyces sp. LZ35" "BGC0000075" 1245024 "CCC1CCC(=O)C2=C(O)C(C)=CC3=C2C(=O)C=C(NC(=O)C\C=C(C)\C(=O)O[C@@H](C)[C@@H](O)\C=C\1)C3=O" "hygrocin A" "C28H31NO8"
"5326384" "Polyketide" "Streptomyces sp. LZ35" "BGC0000075" 1245024 "CCC1CCC(=O)C2=C(O)C(C)=CC3=C2C(=O)C2=C(NC(=O)C=C[C@]2(C)C(=O)O[C@@H](C)[C@@H](O)\C=C\1)C3=O" "hygrocin B" "C28H29NO8"
"6474405" "Polyketide" "Hypomyces subiculosus" "BGC0000076" 193393 "CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O" "hypothemycin" "C19H22O8"
"6474405" "Polyketide" "Hypomyces subiculosus" "BGC0000077" 193393 "CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O" "hypothemycin" "C19H22O8"
"10345604" "Polyketide" "Streptomyces antibioticus" "BGC0000079" 1890 "CC[C@H]1CC[C@@H]2[C@@H]1C=C[C@H]([C@H]2C(=O)C3=CC=CN3)/C=C/C=C(\CC)/[C@H]4[C@H](CC[C@@H](O4)[C@@H](C)C(=O)O)C" "X-14547" "C31H43NO4"
